road_name,road_distance,route_name,bus_station,brt_station,peak_hours,average_speed,travel_time,fare,landmark_nearby,road_type,traffic_lights_count,route_type,congestion_level,passenger_capacity,alternative_routes,bus_station_location,brt_station_location,geojson_data
Sam Nujoma Road,15.3,Route 1,Buguruni,Gerezani,12:00-14:00,15,87,700,Posta City Center,Highway,5,Bus,High,50,Alt-Sam Nujoma Road,"-6.743015, 39.386754","-6.800844, 39.366561","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.386754, -6.743015]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 1', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Sam Nujoma Road,18.7,Route 14,Buguruni,Mbezi,07:00-09:00,49,107,1500,Kariakoo Market,Highway,8,Bus,Low,50,Alt-Sam Nujoma Road,"-6.763284, 39.272821","-6.805237, 39.249554","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.272821, -6.763284]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 14', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 3,Tegeta,Kivukoni,07:00-09:00,28,66,700,Mlimani City Mall,Main Road,3,Bus,Medium,50,Alt-Morogoro Road,"-6.893546, 39.334989","-6.719415, 39.369891","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.334989, -6.893546]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 3', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 13,Sinza,Mbezi,12:00-14:00,10,65,500,Uhuru Stadium,Highway,9,Bus,High,50,Alt-Morogoro Road,"-6.824684, 39.39875","-6.836929, 39.3295","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.39875, -6.824684]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 13', 'station': 'Sinza', 'congestion_level': 'High'}}"
Sam Nujoma Road,18.7,Route 9,Sinza,Magomeni,07:00-09:00,56,12,1000,National Stadium,Main Road,5,Bus,Low,50,Alt-Sam Nujoma Road,"-6.850111, 39.237673","-6.783222, 39.269499","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.237673, -6.850111]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 9', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Sam Nujoma Road,18.7,Route 2,Magomeni,Gerezani,12:00-14:00,19,50,700,Kariakoo Market,Feeder Road,7,Bus,High,50,Alt-Sam Nujoma Road,"-6.739207, 39.221288","-6.815549, 39.330074","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.221288, -6.739207]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 2', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Sam Nujoma Road,15.3,Route 17,Mbagala,Magomeni,07:00-09:00,57,24,500,National Stadium,Highway,3,Bus,Low,50,Alt-Sam Nujoma Road,"-6.700459, 39.357834","-6.797544, 39.215209","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.357834, -6.700459]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 17', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Nyerere Road,25.6,Route 12,Posta,Gerezani,12:00-14:00,36,92,1500,Posta City Center,Feeder Road,1,Bus,Medium,50,Alt-Nyerere Road,"-6.786053, 39.386436","-6.785597, 39.297393","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.386436, -6.786053]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 12', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,12.2,Route 20,Buguruni,Kariakoo,12:00-14:00,16,97,1500,National Stadium,Highway,3,Bus,High,50,Alt-Sam Nujoma Road,"-6.766999, 39.245596","-6.798152, 39.390743","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.245596, -6.766999]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 20', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,18.7,Route 15,Magomeni,Ubungo,12:00-14:00,34,52,500,Posta City Center,Highway,5,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.787301, 39.258395","-6.779661, 39.258549","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.258395, -6.787301]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 15', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
